Env,Rep,Block,Genotype,Female,Male,PED,PHT,EHT,LAE,LAT,LATP,LAI,DTA,DTS,ASI,SDL,SDU,TW,TSL,TBN,KW,KL,KD,KS,KPP,CAN,ZIP,SC,PBP,LDR,LDS,EL,FILL,STG,EW,ERW,KRW,TWA,IPY,TGY
MF1500,2,5,181,MOB-C1-007-SSD-010,MOB-C1-035-SSD-012,MOB-C1-007-SSD-010 X MOB-C1-035-SSD-012,212,144,621.53,3247.57,16912.71,3.595535349,64,67,3, ,6.92,1.4,40.9,5.5,68,87.5,46,273700,425.04,61,56,90,1.11,0,18.89,157.8,135.2,2,38.2,15.4,27.6,60.68591716,0.087083777,9642.869989
MF1500,3,3,181,MOB-C1-007-SSD-010,MOB-C1-035-SSD-012,MOB-C1-007-SSD-010 X MOB-C1-035-SSD-012,259,112,682.09,3563.97,14471.73,3.989675562,61,64,3, ,8.7,1.3,35.75,7.5,78.5,109.5,40.5,348127.875,562.4,59,0,91,0,0,0,190.2,166,3,43.6,14.8,38,62.03739645,0.111687614,12504.69055
MF1500,1,9,182,MOB-C1-007-SSD-032,MOB-C1-036-SSD-029,MOB-C1-007-SSD-032 X MOB-C1-036-SSD-029,265,129,648.94,3390.76,13847.5,3.587214886,63,65,2, ,8.996666667,1.65,37.8,9.5,72.5,101.5,42,309067.5,471.44,49,0,86,1.16,0,4.65,162,138.8,5,44,16.6,28.4,59.03005917,0.111049594,11750.11104
MF1500,2,19,182,MOB-C1-007-SSD-032,MOB-C1-036-SSD-029,MOB-C1-007-SSD-032 X MOB-C1-036-SSD-029,263,114,677.81,3541.61,14588.32,4.138910827,63,67,4, ,7.613333333,1.15,32.75,8,68,114.5,37.5,291975,495.72,54,2,95,3.16,0,0,165.2,140.4,3,42.4,16.2,30.6,60.20414201,0.110099796,12868.75882
MF1500,3,18,182,MOB-C1-007-SSD-032,MOB-C1-036-SSD-029,MOB-C1-007-SSD-032 X MOB-C1-036-SSD-029,253,110,669.65,3498.99,16026.36,4.132146728,65,68,3, ,9.19,2.5,45.1,10,67,106,44,312488,532.44,59,0,96,6.25,0,3.13,170.4,141.2,3,42.8,17.4,30.6,59.99289941,0.099014557,11694.90844
MF1500,1,2,183,RHM-C1-007-DH-001,MOB-C1-036-SSD-018,RHM-C1-007-DH-001 X MOB-C1-036-SSD-018,280,122,670.44,3503.13,15751.72,3.792288569,63,64,1, ,9.05,1.5,36.85,9.5,64.5,113.5,36,263547,388.8,60,0,88,0,3.41,0,138.4,118.2,4,42.8,16.2,24,60.36615385,0.10086029,10920.17071
MF1500,2,14,183,RHM-C1-007-DH-001,MOB-C1-036-SSD-018,RHM-C1-007-DH-001 X MOB-C1-036-SSD-018,260,131,756.31,3951.78,13858.72,4.666870929,67,71,4, ,8.496666667,1.25,32.8,12.5,70,112,43.5,341040,524.8,61,4,96,0,0,1.04,159.4,142,4,44.4,16,32.8,59.58071006,0.129318594,15274.20978
MF1500,3,2,183,RHM-C1-007-DH-001,MOB-C1-036-SSD-018,RHM-C1-007-DH-001 X MOB-C1-036-SSD-018, , , , , , , , , , , , , , , , , , , , , ,60, , , , , , , , , , , , 
MF1500,1,14,184,MOB-C1-007-DH-002,MOB-C1-061-SSD-017,MOB-C1-007-DH-002 X MOB-C1-061-SSD-017,273,136,740.3,3868.14,15759.08,4.282593831,68,68,0, ,8.636666667,2.4,42.9,10,78,124,38.5,372372,566.72,56,4,90,1.11,0,4.44,155,135.2,5,47.8,17.6,32.2,53.22698225,0.111317355,12326.27722
MF1500,2,16,184,MOB-C1-007-DH-002,MOB-C1-061-SSD-017,MOB-C1-007-DH-002 X MOB-C1-061-SSD-017,275,145,704.17,3679.34,13750.48,4.3451355,68,70,2, ,7.453333333,1.5,37.45,12.5,72.5,112.5,44,358875,498,54,24,96,0,0,1.04,133.6,123.8,4,44.2,16.6,30,56.03230769,0.121351093,14333.14413
MF1500,3,20,184,MOB-C1-007-DH-002,MOB-C1-061-SSD-017,MOB-C1-007-DH-002 X MOB-C1-061-SSD-017,274,154,716.6,3744.31,14104.07,4.421856709,68,70,2, ,8.103333333,2.05,39.7,10.5,78,114,46,409032,451.2,59,32,96,0,0,0,131.4,124.6,4,43,16,28.2,56.60023669,0.120397762,14220.54332
MF1500,1,19,185,MOB-C1-007-SSD-010,MOB-C1-035-SSD-013,MOB-C1-007-SSD-010 X MOB-C1-035-SSD-013,230,100,585.43,3058.91,19399.9,3.461919433,63,64,1, ,8.406666667,1.75,44.2,8,67,99,44,291852,453.6,59,6,92,0,0,2.17,142.8,117.4,2,38.6,16.2,28,61.99668639,0.071508716,8094.18914
MF1500,2,19,185,MOB-C1-007-SSD-010,MOB-C1-035-SSD-013,MOB-C1-007-SSD-010 X MOB-C1-035-SSD-013,238,116,596.41,3116.3,20010.23,3.680211498,62,64,2, ,7.476666667,1.9,40.85,7,62,106,41,269452,491.28,54,6,96,0,0,1.04,154.2,110.2,3,41.4,17.8,27.6,62.06485207,0.070628321,8342.124338
MF1500,3,3,185,MOB-C1-007-SSD-010,MOB-C1-035-SSD-013,MOB-C1-007-SSD-010 X MOB-C1-035-SSD-013,230,109,661.93,3458.65,18769.63,4.084509645,61,62,1, ,6.85,2,45,7.5,65,107.5,40,279500,554.4,57,6,96,1.04,0,0,157.4,138.8,2,39.6,16.8,33,61.47266272,0.083568468,9870.524189
MF1500,1,3,186,MOB-C1-059-DH-010,RHM-C1-061-DH-003,MOB-C1-059-DH-010 X RHM-C1-061-DH-003,215,105,711.75,3718.96,18877.4,4.391929267,62,62,0, ,8.086666667,2.15,44.75,6,73,104,41,311272,515.04,57,0,96,1.04,0,0,185.2,157.2,2,40.4,14.8,34.8,57.15597633,0.089345229,10552.83493
MF1500,2,9,186,MOB-C1-059-DH-010,RHM-C1-061-DH-003,MOB-C1-059-DH-010 X RHM-C1-061-DH-003,211,94,703.59,3676.33,21961.4,4.341577117,63,65,2, ,8.986666667,2,44.35,6,73.5,102.5,43,323951.25,400.4,56,2,96,3.13,0,1.04,173,140.2,3,38.4,14,28.6,58.02402367,0.075918146,8966.921496
MF1500,3,3,186,MOB-C1-059-DH-010,RHM-C1-061-DH-003,MOB-C1-059-DH-010 X RHM-C1-061-DH-003,240,101,735.98,3845.57,21111.11,4.304909572,63,64,1, ,9.086666667,1.9,42.5,6.5,72.5,102.5,42,312112.5,440.64,61,0,91,10.99,0,0,175.2,146.2,3,39.4,14.4,30.6,58.37159763,0.082611601,9249.302265
MF1500,1,2,187,MOB-C1-059-DH-007,MOB-C1-061-DH-002,MOB-C1-059-DH-007 X MOB-C1-061-DH-002, , , , , , , , , , , , , , , , , , , , , ,72, , , , , , , , , , , , 
MF1500,2,9,187,MOB-C1-059-DH-007,MOB-C1-061-DH-002,MOB-C1-059-DH-007 X MOB-C1-061-DH-002,261,126,697.8,3646.09,15285.76,4.216164251,66,67,1, ,8.016666667,2.05,37.7,10,68.5,116.5,39,311229.75,605.36,55,0,94,0,0,0,151.2,130.8,4,44.6,18.8,32.2,59.0087574,0.108176257,12510.83643
MF1500,3,11,187,MOB-C1-059-DH-007,MOB-C1-061-DH-002,MOB-C1-059-DH-007 X MOB-C1-061-DH-002,261,130,676.84,3536.56,17467.3,4.045997346,66,68,2, ,7.343333333,2.3,41.2,9.5,69,113,42.5,331372.5,619.2,58,0,93,0,0,2.15,177.2,148.6,2,43.8,17.2,36,60.21905325,0.091821871,10506.4411
MF1500,1,18,188,MOB-C1-007-SSD-006,MOB-C1-035-SSD-008,MOB-C1-007-SSD-006 X MOB-C1-035-SSD-008,285,129,795.57,4156.93,17784.54,4.500053721,66,66,0, ,7.543333333,1.85,36,9.5,73.25,111.5,39,318527.625,551.04,59,0,88,0,0,4.55,165,137.8,4,44,16.4,33.6,54.54721893,0.106003874,11477.06793
MF1500,2,1,188,MOB-C1-007-SSD-006,MOB-C1-035-SSD-008,MOB-C1-007-SSD-006 X MOB-C1-035-SSD-008, , , , , , , , , , , , , , , , , , , , , ,64, , , , , , , , , , , , 
MF1500,3,13,188,MOB-C1-007-SSD-006,MOB-C1-035-SSD-008,MOB-C1-007-SSD-006 X MOB-C1-035-SSD-008,266,134,834.98,4362.87,26750.57,5.15235369,67,68,1, ,6.87,1.85,36.5,9.5,70,110,44,338800,477.4,59,8,96,0,0,20.83,146.4,123.8,2,42.2,15.4,31,57.53846154,0.073965758,8736.319102
MF1500,1,12,189,MOB-C1-007-SSD-023,MOB-C1-035-SSD-025,MOB-C1-007-SSD-023 X MOB-C1-035-SSD-025,260,123,576.02,3009.78,17076.34,3.184162002,62,64,2, ,7.046666667,2.05,43.15,10,66.5,112.5,38.5,288028.125,465.12,57,14,86,0,0,0,163.2,117.4,2,40.4,15.2,30.6,57.63668639,0.07993395,8457.777723
MF1500,2,6,189,MOB-C1-007-SSD-023,MOB-C1-035-SSD-025,MOB-C1-007-SSD-023 X MOB-C1-035-SSD-025,247,131,642.55,3357.37,18425.28,3.964902719,63,66,3, ,7.69,1.95,46.95,7,73,111,41,332223,527.04,54,4,96,1.04,0,12.5,170.8,145.4,3,40.8,14.4,36.6,59.20189349,0.08263738,9760.55059
MF1500,3,16,189,MOB-C1-007-SSD-023,MOB-C1-035-SSD-025,MOB-C1-007-SSD-023 X MOB-C1-035-SSD-025, , , , , , , , , , , , , , , , , , , , , ,85, , , , , , , , , , , , 
MF1500,1,18,190,MOB-C1-010-DH-001,RHM-C1-036-DH-002,MOB-C1-010-DH-001 X RHM-C1-036-DH-002,255,127,613.74,3206.85,16267.25,3.787148111,64,65,1, ,6.88,2.5,42.05,9.5,69,102.5,39.5,279363.75,480.48,58,2,96,0,0,0,136,119,2,41.4,16.8,28.6,60.18698225,0.089403887,10559.76313
MF1500,2,7,190,MOB-C1-010-DH-001,RHM-C1-036-DH-002,MOB-C1-010-DH-001 X RHM-C1-036-DH-002,251,120,588.8,3076.56,16397.78,3.633273751,64,66,2, ,6.62,2.05,40.35,7.5,68.5,96.5,36.5,241274.125,443.04,56,28,96,0,0,0,132.6,112,3,41.6,15.6,28.4,59.2183432,0.085088551,10050.06583
